Run,Condition,BioReplicate
Sam_pilot_50cm_091_1_OT_1ul_NOV2023.raw,50,1
Sam_pilot_50cm_091_1_IT_1ul_NOV2023.raw,50,1
22-091_1_1ul_SS.raw,15,1
22-091_2_1ul_SS.raw,15,1
22-091_3_1ul_SS.raw,15,1
